Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,27.17,30.00,0
2.06,27.44,30.00,0
3.09,27.26,30.00,0
4.11,27.35,30.00,0
5.13,27.35,29.00,0
6.16,27.35,29.00,0
7.18,27.44,29.00,27
8.21,27.44,29.00,0
9.23,27.35,29.00,66
10.26,27.44,29.00,45
11.28,27.26,29.00,88
12.31,27.35,29.00,66
13.34,27.35,29.00,67
14.36,27.35,29.00,67
15.39,27.35,29.00,67
16.41,27.26,29.00,88
17.44,27.35,29.00,84
18.46,27.35,29.00,49
19.49,27.53,29.00,24
20.52,27.35,29.00,49
21.54,27.35,29.00,67
22.57,27.35,29.00,67
23.59,27.35,29.00,67
24.62,27.35,29.00,67
25.65,27.35,29.00,68
26.67,27.35,29.00,68
27.70,27.35,29.00,68
28.72,27.35,29.00,32
29.75,27.35,29.00,68
30.77,27.35,29.00,68
31.80,27.35,29.00,68
32.83,27.35,29.00,68
33.85,27.35,29.00,68
34.88,26.91,29.00,156
35.90,27.35,29.00,86
36.93,27.35,29.00,51
37.95,27.35,29.00,69
38.98,27.35,29.00,51
40.01,27.35,29.00,69
41.03,27.53,29.00,26
42.06,27.35,29.00,51
43.08,27.44,29.00,48
44.11,27.35,29.00,69
45.13,27.35,29.00,105
46.16,27.35,29.00,69
47.19,27.35,29.00,87
48.21,27.44,29.00,48
49.24,27.35,29.00,52
50.26,27.44,29.00,48
51.29,27.35,29.00,52
52.31,27.35,29.00,88
53.34,27.35,29.00,70
54.37,27.53,29.00,27
55.39,27.35,29.00,88
56.42,27.35,29.00,70
57.44,27.44,29.00,102
58.47,27.35,29.00,88
59.50,27.35,29.00,88
60.52,27.62,29.00,7
61.55,27.35,29.00,70
62.57,27.35,29.00,88
63.60,27.35,29.00,71
64.62,27.44,29.00,0
65.65,27.35,29.00,89
66.68,27.44,29.00,67
67.70,27.62,29.00,7
68.73,27.35,29.00,71
69.75,27.44,29.00,174
70.78,27.44,29.00,50
71.80,27.44,29.00,68
72.83,27.44,29.00,68
73.86,27.44,29.00,68
74.88,27.44,29.00,68
75.91,27.44,29.00,68
76.93,27.08,29.00,153
77.96,27.44,29.00,50
78.98,27.53,29.00,47
80.01,27.44,29.00,50
81.04,27.44,29.00,0
82.06,27.44,29.00,68
83.09,27.44,29.00,69
84.11,27.44,29.00,51
85.14,27.44,29.00,69
86.16,27.44,29.00,87
87.19,27.44,29.00,69
88.22,27.44,29.00,69
89.24,27.53,29.00,48
90.27,27.53,29.00,66
91.29,27.44,29.00,69
92.32,27.53,29.00,83
93.34,27.44,29.00,105
94.37,27.44,29.00,87
95.40,27.71,29.00,23
96.42,27.53,29.00,66
97.45,27.44,29.00,88
98.47,27.44,29.00,0
99.50,27.53,29.00,66
100.53,27.53,29.00,66
101.55,27.53,29.00,66
102.58,27.53,29.00,66
103.60,27.53,29.00,67
104.63,27.44,29.00,70
105.65,27.53,29.00,67
106.68,27.80,29.00,3
107.71,27.62,29.00,45
108.73,27.62,29.00,46
109.76,27.62,29.00,46
110.78,27.62,29.00,46
111.81,27.53,29.00,67
112.84,27.62,29.00,81
113.86,27.62,29.00,64
114.89,27.62,29.00,64
115.91,27.62,29.00,64
116.94,27.62,29.00,64
117.96,27.62,29.00,82
118.99,27.53,29.00,86
120.02,27.89,29.00,0
121.04,27.62,29.00,64
122.07,27.62,29.00,64
123.09,27.62,29.00,64
124.12,27.62,29.00,118
125.14,27.71,29.00,61
126.17,27.71,29.00,43
127.20,27.62,29.00,65
128.22,27.71,29.00,43
129.25,27.71,29.00,61
130.27,27.71,29.00,61
131.30,27.62,29.00,65
132.33,27.71,29.00,61
133.35,27.71,29.00,79
134.38,27.71,29.00,61
135.40,27.71,29.00,62
136.43,27.71,29.00,62
137.46,27.71,29.00,62
138.48,27.71,29.00,62
139.51,27.80,29.00,58
140.53,27.89,29.00,19
