Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,26.91,30.00,0
2.06,26.91,30.00,0
3.09,26.91,30.00,0
4.11,26.91,30.00,0
5.13,26.91,30.00,0
6.16,26.99,30.00,107
7.19,26.91,30.00,138
8.21,26.91,30.00,138
9.24,26.82,30.00,155
10.26,26.91,30.00,125
11.29,27.17,30.00,101
12.31,26.91,30.00,165
13.34,26.91,30.00,139
14.37,26.91,30.00,125
15.39,26.91,30.00,126
16.42,26.91,30.00,112
17.44,27.08,30.00,92
18.47,26.55,30.00,194
19.50,26.91,30.00,126
20.52,26.91,30.00,126
21.55,26.82,30.00,143
22.57,26.91,30.00,140
23.60,26.82,30.00,157
24.63,26.99,30.00,150
25.65,26.91,30.00,127
26.68,26.91,30.00,127
27.70,27.08,30.00,80
28.73,26.91,30.00,128
29.75,27.44,30.00,27
30.78,26.91,30.00,115
31.81,26.82,30.00,132
32.83,26.82,30.00,145
33.86,26.82,30.00,145
34.88,26.91,30.00,129
35.91,26.82,30.00,159
36.94,26.82,30.00,146
37.96,26.82,30.00,146
38.99,26.82,30.00,146
40.02,26.91,30.00,129
41.04,27.26,30.00,48
42.07,26.82,30.00,133
43.09,26.91,30.00,117
44.12,26.73,30.00,150
45.15,27.17,30.00,80
46.17,26.82,30.00,174
47.20,26.82,30.00,148
48.22,26.82,30.00,148
49.25,26.82,30.00,148
50.28,27.26,30.00,50
51.30,26.91,30.00,131
52.33,26.82,30.00,148
53.35,26.91,30.00,118
54.38,26.91,30.00,119
55.40,26.82,30.00,135
56.43,26.82,30.00,149
57.46,26.91,30.00,132
58.48,26.82,30.00,176
59.51,26.82,30.00,202
60.53,26.82,30.00,136
61.56,26.91,30.00,133
62.59,26.91,30.00,133
63.61,26.82,30.00,123
64.64,26.64,30.00,171
65.66,26.82,30.00,137
66.69,26.99,30.00,104
67.72,26.91,30.00,134
68.74,26.91,30.00,134
69.77,26.91,30.00,134
70.79,26.91,30.00,121
71.82,26.91,30.00,134
72.85,26.82,30.00,138
73.87,26.91,30.00,161
74.90,26.99,30.00,118
75.92,26.99,30.00,131
76.95,26.91,30.00,135
77.97,26.99,30.00,119
79.00,26.91,30.00,136
80.03,26.91,30.00,136
81.05,26.99,30.00,199
82.08,26.91,30.00,136
83.10,26.99,30.00,159
84.13,26.99,30.00,119
85.16,26.99,30.00,146
86.18,26.99,30.00,133
