Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,26.37,30.00,0
2.06,26.28,30.00,0
3.09,26.37,30.00,0
4.11,26.37,30.00,0
5.13,26.37,30.00,0
6.16,26.37,30.00,0
7.18,26.37,30.00,0
8.21,26.46,30.00,0
9.23,26.37,30.00,0
10.25,26.02,30.00,200
11.28,26.46,30.00,178
12.31,26.19,30.00,191
13.33,26.10,30.00,196
14.36,26.37,30.00,183
15.38,26.37,30.00,183
16.41,26.46,30.00,178
17.43,25.84,30.00,209
18.46,26.37,30.00,183
19.48,26.37,30.00,183
20.51,26.46,30.00,179
21.54,26.46,30.00,179
22.56,26.37,30.00,183
23.59,26.46,30.00,179
24.61,26.37,30.00,184
25.64,26.46,30.00,179
26.67,26.46,30.00,179
27.69,26.46,30.00,180
28.72,26.37,30.00,184
29.74,26.37,30.00,184
30.77,26.37,30.00,184
31.79,26.55,30.00,176
32.82,26.64,30.00,171
33.85,26.46,30.00,180
34.87,26.46,30.00,180
35.90,26.46,30.00,180
36.92,26.46,30.00,181
37.95,26.46,30.00,181
38.97,26.37,30.00,185
40.00,26.46,30.00,181
41.03,26.46,30.00,181
42.05,26.37,30.00,186
43.08,26.46,30.00,181
44.10,26.55,30.00,177
45.13,25.93,30.00,208
46.15,26.37,30.00,186
47.18,26.46,30.00,182
48.20,26.46,30.00,182
49.23,25.84,30.00,213
50.26,26.73,30.00,169
51.28,26.55,30.00,178
52.31,26.46,30.00,182
53.33,26.46,30.00,182
54.36,26.46,30.00,182
55.38,26.46,30.00,182
56.41,26.46,30.00,183
57.44,26.46,30.00,183
58.46,26.46,30.00,183
59.49,26.46,30.00,183
60.51,26.55,30.00,179
61.54,26.55,30.00,179
62.56,26.46,30.00,183
63.59,26.55,30.00,179
64.62,26.55,30.00,179
65.64,26.55,30.00,179
66.67,26.55,30.00,179
67.69,26.55,30.00,179
68.72,26.55,30.00,179
69.74,26.55,30.00,180
70.77,26.55,30.00,180
71.79,26.64,30.00,175
72.82,26.55,30.00,180
73.85,26.64,30.00,176
74.87,26.64,30.00,176
75.90,26.64,30.00,176
76.92,26.64,30.00,176
77.95,26.64,30.00,176
78.98,26.64,30.00,176
80.00,26.64,30.00,176
81.03,26.73,30.00,172
