Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,25.48,30.00,0
2.06,25.48,30.00,0
3.09,25.48,30.00,0
4.11,25.57,30.00,0
5.13,25.40,30.00,0
6.16,25.57,30.00,0
7.18,25.48,30.00,228
8.21,25.57,30.00,225
9.23,25.57,30.00,225
10.26,25.66,30.00,221
11.28,25.66,30.00,221
12.31,25.57,30.00,226
13.34,25.57,30.00,227
14.36,25.57,30.00,227
15.39,25.57,30.00,228
16.41,25.57,30.00,228
17.44,25.57,30.00,229
18.46,25.48,30.00,234
19.49,25.75,30.00,221
20.52,25.66,30.00,226
21.54,25.57,30.00,230
22.57,25.57,30.00,231
23.59,25.84,30.00,218
24.62,25.57,30.00,232
25.64,25.57,30.00,232
26.67,25.57,30.00,233
27.70,25.57,30.00,233
28.72,25.57,30.00,234
29.75,25.57,30.00,234
30.77,25.57,30.00,235
31.80,25.66,30.00,231
32.83,25.66,30.00,231
33.85,25.75,30.00,227
34.88,25.57,30.00,236
35.90,25.66,30.00,232
36.93,25.57,30.00,237
37.95,25.57,30.00,238
38.98,25.57,30.00,238
40.01,25.66,30.00,234
41.03,25.66,30.00,235
42.06,25.66,30.00,235
43.08,25.57,30.00,240
44.11,25.57,30.00,240
45.13,25.66,30.00,236
46.16,25.75,30.00,232
47.19,25.66,30.00,237
48.21,25.66,30.00,238
49.24,25.66,30.00,238
50.26,25.66,30.00,239
51.29,25.66,30.00,239
52.31,25.66,30.00,240
53.34,25.66,30.00,240
54.37,25.22,30.00,255
55.39,25.75,30.00,236
56.42,25.66,30.00,241
57.44,25.75,30.00,237
58.47,25.84,30.00,233
59.49,25.75,30.00,238
60.52,25.75,30.00,239
61.55,25.75,30.00,239
62.57,25.75,30.00,240
63.60,25.84,30.00,236
64.62,25.75,30.00,240
65.65,25.75,30.00,241
66.67,25.93,30.00,232
67.70,25.84,30.00,237
68.72,25.84,30.00,238
69.75,25.57,30.00,251
70.78,25.84,30.00,239
71.80,25.93,30.00,235
72.83,25.84,30.00,239
73.85,25.84,30.00,240
74.88,26.10,30.00,227
75.91,26.02,30.00,232
76.93,25.93,30.00,237
77.96,25.93,30.00,237
78.98,26.02,30.00,233
80.01,26.02,30.00,233
81.04,25.93,30.00,238
82.06,26.02,30.00,234
83.09,26.02,30.00,235
84.11,26.10,30.00,231
85.14,26.02,30.00,235
86.16,26.02,30.00,236
87.19,26.10,30.00,232
88.21,26.19,30.00,228
89.24,26.10,30.00,233
90.26,26.19,30.00,229
91.29,26.19,30.00,229
92.32,26.19,30.00,229
93.34,26.19,30.00,230
94.37,26.19,30.00,230
95.39,26.19,30.00,231
96.42,26.28,30.00,226
97.44,26.28,30.00,227
98.47,26.28,30.00,227
99.50,26.37,30.00,223
100.52,26.28,30.00,228
101.55,26.46,30.00,219
102.57,26.55,30.00,215
103.60,26.46,30.00,220
104.63,26.37,30.00,225
105.65,26.37,30.00,225
106.68,26.46,30.00,221
107.70,26.46,30.00,222
108.73,26.46,30.00,222
109.75,26.46,30.00,222
110.78,26.55,30.00,218
111.81,26.46,30.00,223
112.83,26.55,30.00,219
113.86,26.55,30.00,219
114.88,26.64,30.00,215
115.91,26.64,30.00,216
116.93,26.64,30.00,216
117.96,26.64,30.00,216
118.99,26.73,30.00,212
120.01,26.73,30.00,213
121.04,26.73,30.00,213
122.06,26.73,30.00,213
123.09,26.82,30.00,209
124.11,26.73,30.00,214
125.14,26.82,30.00,210
126.17,26.73,30.00,215
127.19,26.91,30.00,206
128.22,26.91,30.00,206
129.24,26.91,30.00,207
130.27,26.91,30.00,207
131.30,26.91,30.00,207
132.32,26.91,30.00,207
133.35,26.99,30.00,203
134.37,26.99,30.00,204
135.40,27.08,30.00,199
136.42,27.08,30.00,200
137.45,27.08,30.00,200
138.48,27.08,30.00,200
139.50,27.17,30.00,196
140.53,27.17,30.00,196
141.55,27.17,30.00,197
142.58,27.17,30.00,197
143.60,27.26,30.00,193
144.63,27.17,30.00,198
145.66,27.53,30.00,180
146.68,27.26,30.00,194
147.71,27.35,30.00,189
148.73,27.44,30.00,185
149.76,27.35,30.00,190
150.79,27.35,30.00,190
151.81,27.44,30.00,186
152.84,27.44,30.00,186
153.86,27.35,30.00,191
154.89,27.89,30.00,164
155.91,27.53,30.00,183
156.94,27.53,30.00,183
157.97,27.53,30.00,183
158.99,27.53,30.00,183
160.02,27.62,30.00,179
161.04,27.62,30.00,179
162.07,27.62,30.00,180
163.09,27.71,30.00,175
164.12,27.71,30.00,176
165.15,27.62,30.00,180
166.17,28.16,30.00,154
167.20,27.80,30.00,172
168.22,27.89,30.00,168
169.25,27.80,30.00,172
170.27,27.80,30.00,172
171.30,27.89,30.00,168
172.33,27.89,30.00,168
173.35,27.98,30.00,164
174.38,27.89,30.00,169
175.40,27.89,30.00,169
176.43,27.98,30.00,165
177.45,28.07,30.00,160
178.48,28.07,30.00,161
179.51,28.07,30.00,161
180.53,28.16,30.00,157
181.56,28.16,30.00,157
182.58,28.16,30.00,157
183.61,28.07,30.00,162
184.63,28.07,30.00,162
185.66,28.34,30.00,148
186.69,28.25,30.00,153
187.71,28.25,30.00,153
188.74,28.25,30.00,154
189.76,28.25,30.00,154
190.79,28.34,30.00,149
191.81,28.34,30.00,150
192.84,28.43,30.00,145
193.87,28.52,30.00,141
194.89,28.43,30.00,146
195.92,28.43,30.00,146
196.94,28.43,30.00,146
197.97,28.52,30.00,141
198.99,28.52,30.00,142
200.02,28.52,30.00,142
201.05,28.52,30.00,142
202.07,28.61,30.00,138
203.10,28.61,30.00,138
204.12,28.71,30.00,133
205.15,28.71,30.00,133
206.18,28.71,30.00,134
207.20,28.61,30.00,138
208.23,28.71,30.00,134
209.25,28.43,30.00,148
210.28,28.71,30.00,134
211.30,28.71,30.00,134
212.33,28.89,30.00,125
213.36,28.80,30.00,130
214.38,28.89,30.00,126
215.41,28.89,30.00,126
216.43,28.89,30.00,126
217.46,28.89,30.00,126
218.48,28.98,30.00,121
219.51,28.98,30.00,122
220.54,29.07,30.00,117
221.56,29.07,30.00,117
222.59,29.07,30.00,117
223.61,29.07,30.00,117
224.64,29.07,30.00,117
225.66,29.16,30.00,113
226.69,28.80,30.00,131
227.72,29.16,30.00,113
228.74,29.16,30.00,113
229.77,29.25,30.00,109
230.79,29.25,30.00,109
231.82,29.25,30.00,109
232.84,29.25,30.00,109
233.87,29.25,30.00,109
234.90,29.34,30.00,105
235.92,29.25,30.00,109
236.95,28.89,30.00,128
237.97,29.53,30.00,96
239.00,29.43,30.00,100
240.02,29.34,30.00,105
241.05,29.43,30.00,100
242.08,29.43,30.00,100
243.10,29.43,30.00,100
244.13,29.53,30.00,96
245.15,29.53,30.00,96
246.18,29.62,30.00,91
247.20,29.53,30.00,96
248.23,29.53,30.00,96
249.26,29.62,30.00,92
250.28,29.62,30.00,92
251.31,29.62,30.00,92
252.33,29.62,30.00,92
253.36,30.26,30.00,60
254.38,29.62,30.00,92
255.41,29.71,30.00,87
256.44,29.71,30.00,87
257.46,29.80,30.00,83
258.49,29.80,30.00,83
259.51,29.80,30.00,83
260.54,29.80,30.00,83
261.56,29.80,30.00,83
262.59,29.89,30.00,78
263.62,29.89,30.00,78
264.64,29.99,30.00,74
265.67,29.80,30.00,83
266.69,29.99,30.00,74
267.72,29.89,30.00,78
268.74,29.43,30.00,101
269.77,29.62,30.00,92
270.80,29.99,30.00,74
271.82,29.99,30.00,74
272.85,30.08,30.00,69
273.87,30.08,30.00,69
274.90,30.08,30.00,69
275.92,30.08,30.00,69
276.95,30.08,30.00,69
277.98,30.17,30.00,64
279.00,30.08,30.00,69
280.03,30.17,30.00,64
281.05,30.17,30.00,64
282.08,30.17,30.00,64
283.11,30.17,30.00,64
284.13,30.26,30.00,60
285.16,30.17,30.00,64
286.18,30.35,30.00,55
287.21,30.35,30.00,55
288.23,30.26,30.00,60
289.26,30.35,30.00,55
290.29,30.26,30.00,59
291.31,30.35,30.00,55
292.34,30.35,30.00,55
293.36,30.35,30.00,55
294.39,30.35,30.00,55
295.41,30.35,30.00,55
296.44,30.45,30.00,50
297.47,30.45,30.00,50
298.49,30.45,30.00,50
299.52,30.45,30.00,50
300.54,30.54,30.00,45
301.57,30.54,30.00,45
302.59,30.54,30.00,45
303.62,30.54,30.00,45
304.64,30.54,30.00,45
305.67,30.54,30.00,45
306.70,30.54,30.00,45
307.72,30.63,30.00,40
308.75,30.63,30.00,40
309.77,30.63,30.00,40
310.80,30.63,30.00,40
311.83,30.45,30.00,49
312.85,30.72,30.00,35
313.88,30.63,30.00,40
314.90,30.72,30.00,35
315.93,30.72,30.00,35
316.95,30.63,30.00,40
317.98,30.72,30.00,35
319.01,30.63,30.00,39
320.03,30.82,30.00,30
321.06,30.72,30.00,35
