Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,27.08,30.00,0
2.06,27.08,30.00,0
3.09,27.17,30.00,0
4.11,27.17,30.00,117
5.14,27.17,30.00,118
6.16,27.17,30.00,120
7.19,27.17,30.00,121
8.21,27.17,30.00,122
9.24,27.17,30.00,105
10.26,27.08,30.00,128
11.29,27.17,30.00,125
12.32,27.17,30.00,127
13.34,27.17,30.00,128
14.37,27.17,30.00,129
15.39,27.17,30.00,130
16.42,27.17,30.00,131
17.44,27.08,30.00,136
18.47,27.17,30.00,133
19.50,27.17,30.00,135
20.52,27.17,30.00,136
21.55,27.17,30.00,137
22.57,27.17,30.00,120
23.60,27.17,30.00,139
24.62,27.17,30.00,140
25.65,27.08,30.00,163
26.68,27.17,30.00,161
27.70,27.17,30.00,144
28.73,27.17,30.00,145
29.75,27.17,30.00,146
30.78,27.17,30.00,147
31.80,27.17,30.00,149
32.83,27.17,30.00,150
33.86,27.17,30.00,133
34.88,27.17,30.00,152
35.91,27.17,30.00,171
36.93,27.17,30.00,154
37.96,27.17,30.00,156
38.98,27.17,30.00,157
40.01,27.17,30.00,158
41.04,27.08,30.00,180
42.06,27.17,30.00,160
43.09,27.17,30.00,161
44.11,27.17,30.00,163
45.14,27.17,30.00,164
46.16,27.26,30.00,144
47.19,27.26,30.00,145
48.22,27.17,30.00,167
49.24,27.26,30.00,147
50.27,27.26,30.00,148
51.29,27.17,30.00,188
52.32,27.17,30.00,172
53.35,27.17,30.00,191
54.37,27.26,30.00,170
55.40,27.17,30.00,193
56.42,27.26,30.00,173
57.45,27.26,30.00,156
58.47,27.26,30.00,175
59.50,27.26,30.00,176
60.53,27.26,30.00,177
61.55,27.26,30.00,178
62.58,27.26,30.00,179
63.60,27.26,30.00,181
64.63,27.26,30.00,182
65.65,27.26,30.00,201
66.68,27.26,30.00,184
67.71,27.35,30.00,181
68.73,27.26,30.00,204
69.76,27.35,30.00,184
70.79,27.26,30.00,188
71.81,27.35,30.00,168
72.84,27.35,30.00,187
73.86,27.35,30.00,188
74.89,27.44,30.00,168
75.91,27.44,30.00,169
76.94,27.44,30.00,170
77.96,27.35,30.00,192
78.99,27.35,30.00,193
80.02,27.44,30.00,191
81.04,27.35,30.00,213
82.07,27.44,30.00,193
83.09,27.44,30.00,176
84.12,27.44,30.00,195
85.14,27.44,30.00,196
86.17,27.44,30.00,197
87.20,27.53,30.00,177
88.22,27.44,30.00,199
89.25,27.53,30.00,179
90.27,27.53,30.00,180
91.30,27.53,30.00,199
92.32,27.44,30.00,221
93.35,27.53,30.00,201
94.38,27.53,30.00,220
95.40,27.62,30.00,181
96.43,27.53,30.00,204
97.45,27.62,30.00,201
98.48,27.53,30.00,224
99.51,27.62,30.00,203
100.53,27.62,30.00,186
101.56,27.62,30.00,205
102.58,27.62,30.00,206
103.61,27.62,30.00,207
104.63,27.62,30.00,208
105.66,27.62,30.00,227
106.69,27.71,30.00,206
107.71,27.71,30.00,207
108.74,27.71,30.00,208
109.76,27.71,30.00,209
110.79,27.80,30.00,189
111.82,27.71,30.00,229
112.84,27.80,30.00,208
113.87,27.80,30.00,209
114.89,27.80,30.00,210
115.92,27.80,30.00,211
116.94,27.80,30.00,212
117.97,27.80,30.00,213
119.00,27.80,30.00,214
120.02,27.89,30.00,211
121.05,27.89,30.00,212
122.07,27.89,30.00,213
123.10,27.89,30.00,214
124.13,27.89,30.00,215
125.15,27.89,30.00,233
126.18,27.98,30.00,213
127.20,27.98,30.00,231
128.23,27.98,30.00,214
129.26,27.98,30.00,215
130.28,28.07,30.00,194
