Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,26.64,30.00,0
2.06,26.73,30.00,0
3.09,26.73,30.00,0
4.11,26.64,30.00,0
5.13,26.82,30.00,0
6.16,26.82,30.00,128
7.18,26.82,30.00,128
8.21,26.82,30.00,128
9.23,26.82,30.00,128
10.26,26.82,30.00,129
11.29,26.73,30.00,132
12.31,26.46,30.00,126
13.34,26.37,30.00,147
14.36,26.46,30.00,126
15.39,26.37,30.00,147
16.42,26.37,30.00,165
17.44,26.37,30.00,165
18.47,26.46,30.00,144
19.49,26.46,30.00,144
20.52,26.37,30.00,166
21.54,26.46,30.00,145
22.57,26.37,30.00,149
23.60,26.46,30.00,127
24.62,26.46,30.00,128
25.65,26.46,30.00,128
26.67,26.46,30.00,146
27.70,26.37,30.00,167
28.73,26.37,30.00,167
29.75,26.37,30.00,150
30.78,26.37,30.00,168
31.80,26.46,30.00,129
32.83,26.46,30.00,147
33.86,26.46,30.00,129
34.88,26.46,30.00,130
35.91,26.46,30.00,130
36.93,26.46,30.00,130
37.96,26.46,30.00,148
38.99,26.37,30.00,169
40.01,26.37,30.00,169
41.04,26.46,30.00,148
42.06,26.46,30.00,148
43.09,26.46,30.00,131
44.12,26.46,30.00,149
45.14,26.46,30.00,149
46.17,26.46,30.00,149
47.19,26.46,30.00,149
48.22,26.46,30.00,150
49.24,26.55,30.00,128
50.27,26.46,30.00,150
51.29,26.46,30.00,168
52.32,26.46,30.00,150
53.35,26.46,30.00,150
54.37,26.55,30.00,129
55.40,26.46,30.00,151
56.42,26.46,30.00,151
57.45,26.55,30.00,130
58.47,26.55,30.00,148
59.50,26.46,30.00,169
60.53,26.55,30.00,148
61.55,26.55,30.00,131
62.58,26.55,30.00,131
63.61,26.55,30.00,149
64.63,26.55,30.00,149
65.66,26.55,30.00,149
66.68,26.55,30.00,149
67.71,26.64,30.00,128
68.73,26.55,30.00,150
69.76,26.55,30.00,150
70.79,26.55,30.00,150
71.81,26.55,30.00,168
72.84,26.55,30.00,168
73.86,26.55,30.00,168
74.89,26.64,30.00,147
75.92,26.64,30.00,147
76.94,26.64,30.00,147
77.97,26.64,30.00,148
78.99,26.64,30.00,148
80.02,26.64,30.00,148
81.04,26.64,30.00,148
82.07,26.73,30.00,127
83.10,26.64,30.00,166
84.12,26.73,30.00,145
85.15,26.64,30.00,166
86.17,26.73,30.00,145
87.20,26.73,30.00,146
88.22,26.73,30.00,146
89.25,26.73,30.00,164
90.28,26.82,30.00,125
91.30,26.73,30.00,146
92.33,26.82,30.00,125
93.36,26.82,30.00,143
94.38,26.82,30.00,143
95.41,26.82,30.00,143
96.43,26.82,30.00,143
97.46,26.82,30.00,144
98.48,26.82,30.00,144
99.51,26.91,30.00,123
100.54,26.91,30.00,123
101.56,26.91,30.00,123
102.59,26.82,30.00,162
103.61,26.91,30.00,141
104.64,26.91,30.00,141
105.66,26.91,30.00,141
106.69,26.99,30.00,120
107.72,26.91,30.00,159
108.74,26.99,30.00,121
109.77,26.99,30.00,121
110.79,26.99,30.00,121
111.82,26.99,30.00,139
112.85,26.99,30.00,139
113.87,26.99,30.00,139
114.90,26.99,30.00,139
115.92,26.99,30.00,157
116.95,26.99,30.00,157
117.98,27.08,30.00,136
119.00,27.08,30.00,136
120.03,27.08,30.00,136
121.05,27.17,30.00,115
122.08,27.17,30.00,115
123.11,27.08,30.00,137
124.13,27.17,30.00,133
125.16,27.17,30.00,134
126.18,27.17,30.00,134
127.21,27.17,30.00,134
128.24,27.26,30.00,113
129.26,27.26,30.00,113
130.29,27.26,30.00,113
131.31,27.26,30.00,131
132.34,27.26,30.00,131
133.36,27.26,30.00,149
134.39,27.26,30.00,149
135.42,27.26,30.00,149
136.44,27.26,30.00,149
137.47,27.35,30.00,128
138.49,27.35,30.00,128
139.52,27.35,30.00,128
140.55,27.35,30.00,128
141.57,27.44,30.00,107
142.60,27.35,30.00,129
143.62,27.44,30.00,125
144.65,27.44,30.00,125
145.68,27.44,30.00,126
146.70,27.44,30.00,126
147.73,27.44,30.00,126
148.75,27.53,30.00,105
149.78,27.53,30.00,122
150.80,27.53,30.00,123
151.83,27.53,30.00,123
152.86,27.53,30.00,141
153.88,27.53,30.00,141
154.91,27.53,30.00,123
155.93,27.62,30.00,120
156.96,27.62,30.00,120
157.99,27.71,30.00,98
159.01,27.62,30.00,120
160.04,27.62,30.00,138
161.06,27.62,30.00,120
162.09,27.71,30.00,117
163.12,27.71,30.00,117
164.14,27.71,30.00,117
165.17,27.71,30.00,117
166.19,27.80,30.00,96
167.22,27.71,30.00,117
168.25,27.80,30.00,114
169.27,27.80,30.00,114
170.30,27.80,30.00,114
171.32,27.80,30.00,114
172.35,27.89,30.00,93
173.37,27.80,30.00,114
174.40,27.89,30.00,111
175.43,27.89,30.00,111
176.45,27.89,30.00,111
177.48,27.89,30.00,111
178.50,27.98,30.00,90
179.53,27.98,30.00,108
180.55,27.98,30.00,108
181.58,27.98,30.00,108
182.61,27.98,30.00,108
183.63,28.07,30.00,87
184.66,28.07,30.00,87
185.68,28.07,30.00,87
186.71,28.07,30.00,105
187.74,28.07,30.00,105
188.76,28.07,30.00,105
189.79,28.16,30.00,84
190.81,28.16,30.00,84
191.84,28.16,30.00,102
192.86,28.16,30.00,102
193.89,28.16,30.00,102
194.91,28.16,30.00,102
195.94,28.16,30.00,102
196.97,28.16,30.00,120
197.99,28.25,30.00,99
199.02,28.25,30.00,99
200.04,28.25,30.00,99
201.07,28.25,30.00,99
202.10,28.25,30.00,99
203.12,28.34,30.00,78
204.15,28.34,30.00,96
205.17,28.34,30.00,96
206.20,28.34,30.00,96
207.22,28.34,30.00,96
208.25,28.34,30.00,96
209.28,28.43,30.00,75
210.30,28.43,30.00,93
211.33,28.43,30.00,93
212.35,28.43,30.00,93
213.38,28.43,30.00,93
214.41,28.43,30.00,93
215.43,28.52,30.00,71
216.46,28.52,30.00,71
217.48,28.52,30.00,90
218.51,28.52,30.00,71
219.53,28.52,30.00,90
220.56,28.52,30.00,90
221.59,28.61,30.00,68
222.61,28.61,30.00,68
223.64,28.61,30.00,86
224.66,28.61,30.00,86
225.69,28.61,30.00,86
226.71,28.61,30.00,87
227.74,28.71,30.00,65
228.77,28.71,30.00,65
229.79,28.71,30.00,83
230.82,28.71,30.00,83
231.84,28.71,30.00,83
232.87,28.71,30.00,101
233.89,28.80,30.00,62
234.92,28.71,30.00,83
235.95,28.80,30.00,80
236.97,28.80,30.00,80
238.00,28.80,30.00,80
239.02,28.80,30.00,80
240.05,28.89,30.00,59
241.08,28.80,30.00,80
242.10,28.80,30.00,80
243.13,28.89,30.00,59
244.15,28.89,30.00,95
245.18,28.89,30.00,77
246.20,28.89,30.00,77
247.23,28.89,30.00,77
248.26,28.89,30.00,77
249.28,28.98,30.00,73
250.31,28.98,30.00,73
251.33,28.98,30.00,73
252.36,28.98,30.00,56
253.38,28.98,30.00,74
254.41,28.98,30.00,74
255.44,28.98,30.00,74
256.46,28.98,30.00,92
257.49,28.98,30.00,92
258.51,29.07,30.00,70
259.54,29.07,30.00,70
260.56,29.07,30.00,70
261.59,29.16,30.00,49
262.62,29.07,30.00,70
263.64,29.16,30.00,67
264.67,29.16,30.00,67
265.69,29.16,30.00,67
266.72,29.16,30.00,67
267.75,29.16,30.00,67
268.77,29.25,30.00,45
269.80,29.16,30.00,67
270.82,29.16,30.00,67
271.85,29.25,30.00,63
272.87,29.25,30.00,64
273.90,29.25,30.00,64
274.92,29.25,30.00,64
275.95,29.25,30.00,64
276.98,29.34,30.00,42
278.00,29.25,30.00,82
279.03,29.25,30.00,82
280.05,29.25,30.00,82
281.08,29.34,30.00,60
282.11,29.34,30.00,60
283.13,29.34,30.00,60
284.16,29.34,30.00,78
285.18,29.34,30.00,60
286.21,29.43,30.00,38
287.23,29.43,30.00,57
288.26,29.43,30.00,57
289.29,29.43,30.00,57
290.31,29.43,30.00,57
291.34,29.43,30.00,57
292.36,29.43,30.00,57
293.39,29.43,30.00,57
294.42,29.43,30.00,57
295.44,29.43,30.00,57
296.47,29.53,30.00,53
297.49,29.53,30.00,53
298.52,29.53,30.00,53
299.54,29.53,30.00,53
300.57,29.53,30.00,53
301.60,29.53,30.00,53
302.62,29.53,30.00,71
303.65,29.53,30.00,53
304.67,29.62,30.00,32
305.70,29.71,30.00,28
306.72,29.62,30.00,50
307.75,29.62,30.00,50
308.77,29.62,30.00,50
309.80,29.62,30.00,50
310.83,29.71,30.00,28
311.85,29.71,30.00,28
312.88,29.62,30.00,68
313.91,29.71,30.00,46
314.93,29.62,30.00,68
315.96,29.71,30.00,46
316.98,29.71,30.00,65
318.01,29.71,30.00,46
319.03,29.71,30.00,46
320.06,29.80,30.00,25
321.09,29.71,30.00,46
322.11,29.71,30.00,46
323.14,29.71,30.00,64
324.16,29.80,30.00,43
325.19,29.80,30.00,43
326.22,29.71,30.00,65
327.24,29.80,30.00,43
328.27,29.80,30.00,43
329.29,29.80,30.00,43
330.32,29.80,30.00,43
331.34,29.80,30.00,43
332.37,29.89,30.00,21
333.39,29.80,30.00,43
334.42,29.89,30.00,21
335.45,29.89,30.00,21
336.47,29.99,30.00,17
337.50,29.89,30.00,39
338.52,29.89,30.00,39
339.55,29.89,30.00,39
340.58,29.89,30.00,39
341.60,29.89,30.00,39
342.63,29.89,30.00,39
343.65,29.89,30.00,39
344.68,29.89,30.00,39
345.70,29.89,30.00,57
346.73,29.89,30.00,39
347.76,29.99,30.00,36
348.78,29.99,30.00,36
349.81,29.99,30.00,36
350.83,29.99,30.00,36
351.86,29.99,30.00,36
352.88,29.99,30.00,36
