Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,27.44,30.00,0
2.06,27.35,30.00,0
3.09,27.35,30.00,0
4.11,27.44,30.00,0
5.13,27.44,30.00,127
6.16,27.44,30.00,127
7.18,27.44,30.00,127
8.21,27.44,30.00,127
9.23,27.44,30.00,127
10.26,27.44,30.00,127
11.29,27.44,30.00,127
12.31,27.44,30.00,127
13.34,27.35,30.00,132
14.36,27.44,30.00,127
15.39,27.35,30.00,132
16.41,27.35,30.00,132
17.44,27.35,30.00,132
18.46,27.35,30.00,132
19.49,27.44,30.00,127
20.51,27.35,30.00,132
21.54,27.35,30.00,132
22.57,27.44,30.00,127
23.59,27.35,30.00,132
24.62,27.44,30.00,127
25.64,27.35,30.00,132
26.67,27.35,30.00,132
27.69,27.35,30.00,132
28.72,27.44,30.00,127
29.75,27.44,30.00,127
30.77,27.35,30.00,132
31.80,27.44,30.00,127
32.82,27.44,30.00,127
33.85,27.35,30.00,132
34.87,27.35,30.00,132
35.90,27.35,30.00,132
36.92,27.35,30.00,132
37.95,27.35,30.00,132
38.97,27.35,30.00,132
40.00,27.35,30.00,132
41.03,27.35,30.00,132
42.05,27.35,30.00,132
43.08,27.44,30.00,127
44.10,27.35,30.00,132
45.13,27.35,30.00,132
46.15,27.35,30.00,132
47.18,27.44,30.00,127
48.20,27.35,30.00,132
49.23,27.44,30.00,127
50.26,27.44,30.00,127
51.28,27.35,30.00,132
52.31,27.35,30.00,132
53.33,27.44,30.00,127
54.36,27.35,30.00,132
55.38,27.35,30.00,132
56.41,27.44,30.00,127
57.44,27.44,30.00,127
58.46,27.44,30.00,127
59.49,27.44,30.00,127
60.51,27.35,30.00,132
61.54,27.44,30.00,127
62.56,27.71,30.00,114
63.59,27.44,30.00,127
64.61,27.44,30.00,127
65.64,27.44,30.00,127
66.66,27.80,30.00,109
67.69,27.53,30.00,123
68.71,27.53,30.00,123
69.74,27.80,30.00,109
70.77,27.53,30.00,123
71.79,27.44,30.00,127
72.82,27.80,30.00,109
73.84,27.98,30.00,100
74.87,27.44,30.00,127
75.89,27.44,30.00,127
76.92,27.53,30.00,123
77.94,27.53,30.00,123
78.97,27.53,30.00,123
80.00,27.53,30.00,123
81.02,27.53,30.00,123
82.05,27.53,30.00,123
83.07,27.53,30.00,123
84.10,27.53,30.00,123
85.12,27.53,30.00,123
86.15,27.53,30.00,123
87.17,27.53,30.00,123
88.20,27.62,30.00,118
89.22,27.62,30.00,118
90.25,27.62,30.00,118
91.28,27.62,30.00,118
92.30,27.62,30.00,118
93.33,27.62,30.00,118
94.35,27.62,30.00,118
95.38,27.62,30.00,118
96.40,27.62,30.00,118
97.43,27.44,30.00,127
98.45,27.71,30.00,114
99.48,27.62,30.00,118
100.50,27.71,30.00,114
101.53,27.71,30.00,114
102.56,27.71,30.00,114
103.58,27.26,30.00,136
104.61,28.16,30.00,91
105.63,27.62,30.00,118
106.66,27.80,30.00,109
107.68,27.80,30.00,109
108.71,27.71,30.00,114
109.73,27.71,30.00,114
110.76,27.80,30.00,109
111.79,27.89,30.00,105
112.81,27.80,30.00,109
113.84,27.80,30.00,109
114.86,27.89,30.00,105
115.89,26.99,30.00,150
116.91,27.80,30.00,109
117.94,27.80,30.00,109
118.96,27.89,30.00,105
119.99,27.89,30.00,105
121.02,27.89,30.00,105
122.04,27.98,30.00,100
123.07,27.53,30.00,123
124.09,27.89,30.00,105
125.12,27.89,30.00,105
126.14,27.89,30.00,105
127.17,27.98,30.00,100
