Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
0.034,26.37,30.00,217
0.304,26.37,30.00,217
0.572,26.37,30.00,217
0.841,26.37,30.00,217
1.111,26.37,30.00,217
1.379,26.37,30.00,217
1.648,26.37,30.00,217
1.916,26.37,30.00,217
2.186,26.37,30.00,217
2.455,26.37,30.00,217
2.723,26.37,30.00,217
2.993,26.37,30.00,217
3.262,26.37,30.00,217
3.531,26.37,30.00,217
3.801,26.55,30.00,207
4.069,26.46,30.00,212
4.338,26.37,30.00,217
4.608,26.28,30.00,223
4.876,26.46,30.00,212
5.145,26.46,30.00,212
5.414,26.37,30.00,217
5.683,26.64,30.00,201
5.952,26.55,30.00,207
6.220,26.37,30.00,217
6.490,26.37,30.00,217
6.759,26.28,30.00,223
7.027,26.55,30.00,207
7.297,26.37,30.00,217
7.565,26.37,30.00,217
7.834,26.37,30.00,217
8.103,26.37,30.00,217
8.372,26.28,30.00,223
8.641,26.37,30.00,217
8.910,26.19,30.00,228
9.179,26.37,30.00,217
9.448,26.37,30.00,217
9.716,26.55,30.00,207
9.986,26.55,30.00,207
10.255,26.46,30.00,212
10.523,26.55,30.00,207
10.792,26.37,30.00,217
11.062,26.46,30.00,212
11.331,26.46,30.00,212
11.599,26.46,30.00,212
11.869,26.46,30.00,212
12.138,26.37,30.00,217
12.406,26.19,30.00,228
12.676,26.10,30.00,233
12.945,26.46,30.00,212
13.214,26.46,30.00,212
13.484,26.46,30.00,212
13.753,26.46,30.00,212
14.021,26.46,30.00,212
14.290,26.46,30.00,212
14.560,26.02,30.00,239
14.829,26.46,30.00,212
15.098,26.73,30.00,196
15.368,26.55,30.00,207
15.637,26.46,30.00,212
15.906,26.46,30.00,212
16.176,26.10,30.00,233
16.444,26.10,30.00,233
16.713,26.10,30.00,233
16.983,26.28,30.00,223
17.252,26.10,30.00,233
17.521,26.10,30.00,233
17.790,26.02,30.00,239
18.060,26.10,30.00,233
18.329,26.19,30.00,228
18.597,26.46,30.00,212
18.867,25.75,30.00,255
19.136,26.10,30.00,233
19.405,26.10,30.00,233
19.675,25.93,30.00,244
19.944,26.10,30.00,233
20.213,26.10,30.00,233
20.482,26.37,30.00,217
20.751,26.19,30.00,228
21.021,26.19,30.00,228
21.291,26.28,30.00,223
21.560,25.84,30.00,249
21.828,26.10,30.00,233
22.097,26.10,30.00,233
22.367,26.10,30.00,233
22.636,26.10,30.00,233
22.905,26.19,30.00,228
23.175,26.28,30.00,223
23.443,25.75,30.00,255
23.712,26.28,30.00,223
23.982,26.37,30.00,217
24.251,26.46,30.00,212
24.520,26.28,30.00,223
24.790,26.37,30.00,217
25.059,26.02,30.00,239
25.327,26.28,30.00,223
25.596,26.28,30.00,223
25.866,26.46,30.00,212
26.134,26.46,30.00,212
26.403,26.28,30.00,223
26.673,26.28,30.00,223
26.942,26.37,30.00,217
27.211,26.10,30.00,233
27.480,26.28,30.00,223
27.749,26.46,30.00,212
28.018,26.28,30.00,223
28.288,26.28,30.00,223
28.557,26.19,30.00,228
28.826,26.37,30.00,217
29.095,26.19,30.00,228
29.365,26.19,30.00,228
29.634,26.28,30.00,223
29.902,25.75,30.00,255
30.172,26.19,30.00,228
30.441,26.19,30.00,228
30.710,26.46,30.00,212
30.980,26.19,30.00,228
31.249,26.19,30.00,228
31.518,26.28,30.00,223
31.788,25.84,30.00,249
32.057,26.19,30.00,228
32.326,26.28,30.00,223
32.595,26.19,30.00,228
32.865,26.19,30.00,228
33.134,26.19,30.00,228
33.402,26.19,30.00,228
33.672,26.10,30.00,233
33.941,26.10,30.00,233
34.210,26.19,30.00,228
34.480,26.10,30.00,233
34.749,26.10,30.00,233
35.018,26.46,30.00,212
35.288,26.10,30.00,233
35.557,26.19,30.00,228
35.826,26.10,30.00,233
36.096,25.84,30.00,249
36.365,26.19,30.00,228
36.634,26.28,30.00,223
36.902,26.64,30.00,201
37.172,26.19,30.00,228
37.441,26.37,30.00,217
37.710,26.37,30.00,217
37.980,26.46,30.00,212
38.249,26.37,30.00,217
38.518,26.46,30.00,212
38.788,26.46,30.00,212
39.057,26.91,30.00,185
39.326,26.64,30.00,201
39.596,26.55,30.00,207
39.865,26.99,30.00,180
40.134,26.64,30.00,201
40.403,26.64,30.00,201
40.672,26.73,30.00,196
40.941,26.82,30.00,191
41.210,26.64,30.00,201
41.480,26.73,30.00,196
41.749,26.28,30.00,223
42.018,26.73,30.00,196
42.288,26.73,30.00,196
42.557,26.73,30.00,196
42.826,26.73,30.00,196
43.096,26.73,30.00,196
43.365,26.91,30.00,185
43.634,26.91,30.00,185
43.902,26.73,30.00,196
44.172,26.82,30.00,191
44.441,26.64,30.00,201
44.710,26.73,30.00,196
44.980,26.73,30.00,196
45.249,26.91,30.00,185
45.518,26.73,30.00,196
45.788,26.73,30.00,196
46.057,26.82,30.00,191
46.326,26.64,30.00,201
46.596,26.73,30.00,196
46.865,26.55,30.00,207
47.134,26.64,30.00,201
47.404,26.73,30.00,196
47.673,26.91,30.00,185
47.942,26.91,30.00,185
48.211,26.73,30.00,196
48.481,26.73,30.00,196
48.750,26.64,30.00,201
49.018,26.73,30.00,196
49.288,26.73,30.00,196
49.557,26.82,30.00,191
49.826,26.73,30.00,196
50.096,26.73,30.00,196
50.365,26.37,30.00,217
50.634,26.28,30.00,223
50.904,26.73,30.00,196
51.173,26.64,30.00,201
51.442,26.99,30.00,180
51.712,26.73,30.00,196
51.981,26.82,30.00,191
52.250,26.99,30.00,180
52.519,26.82,30.00,191
52.789,26.73,30.00,196
53.057,26.82,30.00,191
53.326,26.73,30.00,196
53.596,26.73,30.00,196
53.865,26.73,30.00,196
54.134,26.73,30.00,196
54.404,26.82,30.00,191
54.673,26.82,30.00,191
54.942,26.82,30.00,191
55.212,26.82,30.00,191
55.481,26.82,30.00,191
55.750,26.82,30.00,191
56.019,26.82,30.00,191
56.289,26.82,30.00,191
56.557,26.55,30.00,207
56.826,26.82,30.00,191
57.097,26.82,30.00,191
57.366,26.82,30.00,191
57.634,26.91,30.00,185
57.904,26.91,30.00,185
58.173,26.55,30.00,207
58.442,27.08,30.00,174
58.712,26.91,30.00,185
58.981,26.82,30.00,191
59.250,26.73,30.00,196
59.520,26.91,30.00,185
59.789,26.91,30.00,185
60.058,26.46,30.00,212
60.327,26.91,30.00,185
60.597,26.91,30.00,185
60.866,26.99,30.00,180
61.135,26.91,30.00,185
61.405,26.91,30.00,185
61.673,26.91,30.00,185
61.942,26.91,30.00,185
62.212,26.91,30.00,185
62.481,26.82,30.00,191
62.750,26.99,30.00,180
63.020,26.91,30.00,185
63.289,26.99,30.00,180
63.558,26.55,30.00,207
63.827,26.91,30.00,185
64.097,27.08,30.00,174
64.366,27.08,30.00,174
64.635,26.91,30.00,185
64.905,26.91,30.00,185
65.174,27.08,30.00,174
65.443,26.99,30.00,180
65.713,26.99,30.00,180
65.982,26.91,30.00,185
66.250,26.99,30.00,180
66.520,26.99,30.00,180
66.789,26.64,30.00,201
67.058,26.91,30.00,185
67.328,26.99,30.00,180
67.597,26.91,30.00,185
67.866,26.46,30.00,212
68.135,26.99,30.00,180
68.405,26.99,30.00,180
68.674,26.91,30.00,185
68.943,26.99,30.00,180
69.213,26.99,30.00,180
69.482,27.17,30.00,169
69.751,26.99,30.00,180
70.020,26.99,30.00,180
70.289,27.08,30.00,174
70.558,26.99,30.00,180
70.828,27.08,30.00,174
71.097,26.99,30.00,180
71.366,26.91,30.00,185
71.635,26.99,30.00,180
71.905,27.08,30.00,174
72.174,27.08,30.00,174
72.443,26.99,30.00,180
72.713,27.08,30.00,174
72.982,27.08,30.00,174
73.251,27.08,30.00,174
73.521,27.08,30.00,174
73.789,27.08,30.00,174
74.058,27.17,30.00,169
74.328,27.08,30.00,174
74.597,27.08,30.00,174
74.866,27.08,30.00,174
75.136,27.08,30.00,174
75.405,27.08,30.00,174
75.674,27.08,30.00,174
75.943,27.08,30.00,174
76.213,27.08,30.00,174
76.482,26.91,30.00,185
76.751,27.08,30.00,174
77.021,27.08,30.00,174
77.289,27.17,30.00,169
77.558,27.26,30.00,164
77.828,27.17,30.00,169
78.098,27.17,30.00,169
78.366,27.44,30.00,153
78.636,27.17,30.00,169
78.905,27.44,30.00,153
79.174,27.17,30.00,169
79.443,27.17,30.00,169
79.713,27.17,30.00,169
79.982,27.08,30.00,174
80.251,27.17,30.00,169
80.521,27.17,30.00,169
80.790,27.17,30.00,169
81.059,27.08,30.00,174
81.328,27.17,30.00,169
81.598,27.17,30.00,169
81.867,27.26,30.00,164
82.136,27.17,30.00,169
82.405,27.17,30.00,169
82.674,26.82,30.00,191
82.944,27.26,30.00,164
83.213,27.17,30.00,169
83.482,27.17,30.00,169
83.751,27.26,30.00,164
84.021,27.26,30.00,164
84.290,27.26,30.00,164
84.559,27.26,30.00,164
84.829,27.26,30.00,164
85.098,27.26,30.00,164
85.367,27.26,30.00,164
85.637,27.26,30.00,164
85.905,27.26,30.00,164
86.174,27.26,30.00,164
86.444,27.26,30.00,164
86.713,27.26,30.00,164
86.982,27.26,30.00,164
87.251,27.26,30.00,164
87.521,27.26,30.00,164
87.790,27.35,30.00,158
88.059,27.35,30.00,158
88.329,27.35,30.00,158
88.598,27.26,30.00,164
88.867,27.35,30.00,158
89.137,27.35,30.00,158
89.405,27.08,30.00,174
89.674,27.44,30.00,153
89.944,27.35,30.00,158
90.213,27.44,30.00,153
90.482,27.44,30.00,153
90.752,27.35,30.00,158
91.021,27.35,30.00,158
91.290,27.44,30.00,153
91.559,27.35,30.00,158
91.829,27.44,30.00,153
92.098,27.44,30.00,153
92.367,27.35,30.00,158
92.637,27.35,30.00,158
92.906,26.99,30.00,180
93.175,27.35,30.00,158
93.445,27.53,30.00,148
93.714,27.26,30.00,164
93.983,27.44,30.00,153
94.252,27.44,30.00,153
94.521,27.80,30.00,131
94.790,27.44,30.00,153
95.059,27.44,30.00,153
95.329,27.26,30.00,164
95.598,27.44,30.00,153
95.867,27.44,30.00,153
96.137,27.53,30.00,148
96.406,27.44,30.00,153
96.675,27.44,30.00,153
96.945,27.62,30.00,142
97.214,27.44,30.00,153
97.483,27.44,30.00,153
97.753,26.91,30.00,185
98.022,27.44,30.00,153
98.291,27.53,30.00,148
98.561,27.62,30.00,142
98.829,27.53,30.00,148
99.098,27.53,30.00,148
99.367,27.44,30.00,153
99.637,27.53,30.00,148
99.906,27.62,30.00,142
100.175,27.26,30.00,164
100.445,27.53,30.00,148
100.714,27.62,30.00,142
100.983,27.08,30.00,174
101.253,27.53,30.00,148
101.522,27.44,30.00,153
101.791,27.53,30.00,148
102.061,27.53,30.00,148
102.330,27.53,30.00,148
102.599,27.62,30.00,142
102.868,27.53,30.00,148
103.138,27.35,30.00,158
103.407,27.62,30.00,142
103.676,27.62,30.00,142
103.946,27.62,30.00,142
104.215,27.62,30.00,142
104.484,27.62,30.00,142
104.754,27.53,30.00,148
105.023,27.62,30.00,142
105.292,27.71,30.00,137
105.562,27.89,30.00,126
105.831,27.62,30.00,142
106.100,27.62,30.00,142
106.370,27.62,30.00,142
106.639,27.62,30.00,142
106.908,27.62,30.00,142
107.177,27.80,30.00,131
107.447,27.71,30.00,137
107.716,27.71,30.00,137
107.985,27.71,30.00,137
108.255,27.71,30.00,137
108.524,27.80,30.00,131
108.793,27.80,30.00,131
109.063,27.71,30.00,137
109.332,27.71,30.00,137
109.601,27.71,30.00,137
109.871,27.71,30.00,137
110.140,27.71,30.00,137
110.409,27.71,30.00,137
110.679,27.71,30.00,137
110.949,27.71,30.00,137
111.218,27.71,30.00,137
111.486,27.80,30.00,131
111.756,27.80,30.00,131
112.025,27.80,30.00,131
112.294,27.80,30.00,131
112.564,27.80,30.00,131
112.833,27.80,30.00,131
113.102,27.80,30.00,131
113.372,27.80,30.00,131
113.641,27.80,30.00,131
113.910,27.80,30.00,131
114.180,27.80,30.00,131
114.449,27.80,30.00,131
114.718,27.80,30.00,131
114.988,27.89,30.00,126
115.257,27.80,30.00,131
115.526,27.80,30.00,131
115.795,27.80,30.00,131
116.065,27.80,30.00,131
116.334,27.80,30.00,131
116.603,27.89,30.00,126
116.873,27.80,30.00,131
117.142,27.80,30.00,131
117.411,27.80,30.00,131
117.681,27.89,30.00,126
117.950,27.89,30.00,126
118.219,27.44,30.00,153
118.489,27.80,30.00,131
118.758,27.89,30.00,126
119.028,27.62,30.00,142
119.298,27.89,30.00,126
119.566,27.89,30.00,126
119.835,28.07,30.00,115
120.104,27.80,30.00,131
120.374,27.89,30.00,126
120.644,27.98,30.00,121
120.913,27.98,30.00,121
121.183,27.98,30.00,121
121.451,27.98,30.00,121
121.720,28.25,30.00,104
121.991,27.98,30.00,121
122.260,27.89,30.00,126
122.529,27.98,30.00,121
122.799,27.98,30.00,121
123.068,27.98,30.00,121
123.337,27.98,30.00,121
123.607,27.98,30.00,121
123.876,27.98,30.00,121
124.145,27.98,30.00,121
124.414,27.98,30.00,121
124.684,28.07,30.00,115
124.953,28.07,30.00,115
125.222,28.07,30.00,115
125.492,27.98,30.00,121
125.761,28.07,30.00,115
126.030,28.07,30.00,115
126.300,28.07,30.00,115
126.569,28.07,30.00,115
126.838,28.07,30.00,115
127.108,27.98,30.00,121
127.377,28.07,30.00,115
127.646,28.07,30.00,115
127.916,28.07,30.00,115
128.185,28.07,30.00,115
128.454,28.07,30.00,115
128.723,28.07,30.00,115
128.993,28.07,30.00,115
