Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,25.40,30.00,0
2.06,25.40,30.00,0
3.09,25.48,30.00,0
4.11,25.48,30.00,0
5.14,25.48,30.00,255
6.16,25.48,30.00,255
7.19,25.48,30.00,255
8.21,25.48,30.00,255
9.24,25.48,30.00,255
10.26,25.48,30.00,255
11.29,25.31,30.00,255
12.31,25.57,30.00,255
13.34,25.48,30.00,255
14.37,25.57,30.00,255
15.39,25.57,30.00,255
16.42,25.57,30.00,255
17.44,25.57,30.00,255
18.47,25.75,30.00,255
19.49,25.57,30.00,255
20.52,25.04,30.00,255
21.54,25.04,30.00,255
22.57,25.48,30.00,255
23.60,25.22,30.00,255
24.62,25.48,30.00,255
25.65,25.48,30.00,255
26.67,25.48,30.00,255
27.70,25.48,30.00,255
28.72,25.48,30.00,255
29.75,25.48,30.00,255
30.78,25.48,30.00,255
31.80,25.57,30.00,255
32.83,25.48,30.00,255
33.85,25.57,30.00,255
34.88,25.57,30.00,255
35.90,25.57,30.00,255
36.93,25.57,30.00,255
37.96,25.57,30.00,255
38.98,25.57,30.00,255
40.01,25.57,30.00,255
41.03,25.75,30.00,255
42.06,25.57,30.00,255
43.08,25.75,30.00,255
44.11,25.66,30.00,255
45.14,25.66,30.00,255
46.16,25.84,30.00,255
47.19,25.57,30.00,255
48.21,25.93,30.00,255
49.24,25.40,30.00,255
50.27,25.75,30.00,255
51.29,25.66,30.00,255
52.32,25.66,30.00,255
53.34,25.66,30.00,255
54.37,25.66,30.00,255
55.39,25.66,30.00,255
56.42,25.66,30.00,255
57.44,25.57,30.00,255
58.47,25.84,30.00,255
59.50,25.66,30.00,255
60.52,25.40,30.00,255
61.55,25.75,30.00,255
62.57,25.75,30.00,255
63.60,25.75,30.00,255
64.62,25.93,30.00,255
65.65,25.75,30.00,255
66.68,25.57,30.00,255
67.70,25.84,30.00,255
68.73,25.84,30.00,255
69.75,25.93,30.00,255
70.78,25.84,30.00,255
71.80,26.28,30.00,255
72.83,25.75,30.00,255
73.85,25.93,30.00,255
74.88,25.84,30.00,255
75.91,25.57,30.00,255
76.93,25.93,30.00,255
77.96,25.93,30.00,255
78.98,26.02,30.00,255
80.01,26.02,30.00,255
81.04,26.02,30.00,255
82.06,26.02,30.00,255
83.09,26.10,30.00,255
84.11,26.28,30.00,255
85.14,26.02,30.00,255
86.16,26.10,30.00,255
87.19,26.10,30.00,255
88.21,26.10,30.00,255
89.24,26.46,30.00,247
90.26,26.28,30.00,255
