Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,35.22,30.00,0
2.06,35.22,30.00,0
3.09,35.22,30.00,0
4.11,35.22,30.00,0
5.13,35.22,30.00,0
6.16,35.22,30.00,0
7.18,35.32,30.00,0
8.21,35.32,30.00,0
9.23,35.32,30.00,0
10.25,35.32,30.00,0
11.28,35.32,30.00,0
12.30,35.32,30.00,0
13.32,35.32,30.00,0
14.35,35.32,30.00,0
15.37,35.32,30.00,0
16.40,35.32,30.00,0
17.42,35.32,30.00,0
18.44,35.32,30.00,0
19.47,35.32,30.00,0
20.49,35.32,30.00,0
21.52,35.32,30.00,0
22.54,35.32,30.00,0
23.56,35.32,30.00,0
24.59,35.32,30.00,0
25.61,35.32,30.00,0
26.64,35.32,30.00,0
27.66,35.32,30.00,0
28.69,35.32,30.00,0
29.71,35.32,30.00,0
30.73,35.32,30.00,0
31.76,35.32,30.00,0
32.78,35.32,30.00,0
33.81,35.32,30.00,0
34.83,35.32,30.00,0
35.85,35.32,30.00,0
36.88,35.32,30.00,0
37.90,35.32,30.00,0
38.93,35.32,30.00,0
39.95,35.32,30.00,0
40.97,35.32,30.00,0
42.00,35.32,30.00,0
43.02,35.32,30.00,0
44.05,35.32,30.00,0
45.07,35.32,30.00,0
46.10,35.32,30.00,0
47.12,35.32,30.00,0
48.14,35.32,30.00,0
49.17,35.32,30.00,0
50.19,35.32,30.00,0
51.22,35.32,30.00,0
52.24,35.32,30.00,0
53.26,35.32,30.00,0
54.29,35.32,30.00,0
55.31,35.32,30.00,0
56.34,35.32,30.00,0
57.36,35.32,30.00,0
58.38,35.32,30.00,0
59.41,35.32,30.00,0
60.43,35.32,30.00,0
61.46,35.32,30.00,0
62.48,35.32,30.00,0
63.50,35.32,30.00,0
64.53,35.32,30.00,0
65.55,35.32,30.00,0
66.58,35.22,30.00,0
67.60,35.22,30.00,0
68.62,35.22,30.00,0
69.65,35.22,30.00,0
70.67,35.22,30.00,0
71.70,35.22,30.00,0
72.72,35.22,30.00,0
73.74,35.22,30.00,0
74.77,35.22,30.00,0
75.79,35.22,30.00,0
76.82,35.22,30.00,0
77.84,35.22,30.00,0
78.86,35.22,30.00,0
79.89,35.22,30.00,0
80.91,35.22,30.00,0
81.94,35.22,30.00,0
82.96,35.22,30.00,0
83.98,35.22,30.00,0
85.01,35.22,30.00,0
86.03,35.22,30.00,0
87.06,35.22,30.00,0
88.08,35.22,30.00,0
89.11,35.12,30.00,0
90.13,35.12,30.00,0
91.15,35.12,30.00,0
92.18,35.12,30.00,0
93.20,35.12,30.00,0
94.22,35.12,30.00,0
95.25,35.12,30.00,0
96.27,35.12,30.00,0
97.30,35.12,30.00,0
98.32,35.12,30.00,0
99.34,35.12,30.00,0
100.37,35.12,30.00,0
101.39,35.12,30.00,0
102.42,35.12,30.00,0
103.44,35.12,30.00,0
104.47,35.12,30.00,0
105.49,35.12,30.00,0
106.51,35.12,30.00,0
107.54,35.02,30.00,0
108.56,35.02,30.00,0
109.59,35.02,30.00,0
110.61,35.02,30.00,0
111.63,35.02,30.00,0
112.66,35.02,30.00,0
113.68,35.02,30.00,0
114.71,35.02,30.00,0
115.73,35.02,30.00,0
116.75,35.02,30.00,0
117.78,35.02,30.00,0
118.80,35.02,30.00,0
119.83,35.02,30.00,0
120.85,35.02,30.00,0
121.88,34.92,30.00,0
122.90,35.02,30.00,0
123.92,35.02,30.00,0
124.95,34.92,30.00,0
125.97,34.92,30.00,0
127.00,34.92,30.00,0
128.02,34.92,30.00,0
129.04,34.92,30.00,0
130.07,34.92,30.00,0
131.09,34.92,30.00,0
132.12,34.92,30.00,0
133.14,34.92,30.00,0
134.16,34.92,30.00,0
135.19,34.92,30.00,0
136.21,34.82,30.00,0
137.24,34.82,30.00,0
138.26,34.92,30.00,0
139.29,34.82,30.00,0
140.31,34.82,30.00,0
141.33,34.82,30.00,0
142.36,34.82,30.00,0
143.38,34.82,30.00,0
144.41,34.82,30.00,0
145.43,34.82,30.00,0
146.45,34.82,30.00,0
147.48,34.82,30.00,0
148.50,34.82,30.00,0
149.53,34.82,30.00,0
150.55,34.73,30.00,0
151.57,34.73,30.00,0
152.60,34.73,30.00,0
153.62,34.73,30.00,0
154.65,34.73,30.00,0
155.67,34.73,30.00,0
156.70,34.73,30.00,0
157.72,34.73,30.00,0
158.74,34.73,30.00,0
159.77,34.73,30.00,0
160.79,34.73,30.00,0
161.82,34.63,30.00,0
162.84,34.73,30.00,0
163.86,34.63,30.00,0
164.89,34.63,30.00,0
165.91,34.63,30.00,0
166.94,34.63,30.00,0
167.96,34.63,30.00,0
168.98,34.63,30.00,0
170.01,34.63,30.00,0
171.03,34.63,30.00,0
172.06,34.63,30.00,0
173.08,34.63,30.00,0
174.10,34.63,30.00,0
175.13,34.63,30.00,0
176.15,34.53,30.00,0
177.18,34.53,30.00,0
178.20,34.53,30.00,0
179.22,34.53,30.00,0
180.25,34.53,30.00,0
181.27,34.53,30.00,0
182.30,34.53,30.00,0
183.32,34.53,30.00,0
184.35,34.53,30.00,0
185.37,34.53,30.00,0
186.39,34.53,30.00,0
187.42,34.43,30.00,0
188.44,34.43,30.00,0
189.47,34.43,30.00,0
190.49,34.43,30.00,0
191.51,34.43,30.00,0
192.54,34.43,30.00,0
193.56,34.43,30.00,0
194.59,34.43,30.00,0
195.61,34.43,30.00,0
196.63,34.43,30.00,0
197.66,34.43,30.00,0
198.68,34.43,30.00,0
199.71,34.33,30.00,0
200.73,34.33,30.00,0
201.75,34.33,30.00,0
202.78,34.33,30.00,0
203.80,34.33,30.00,0
204.83,34.33,30.00,0
205.85,34.33,30.00,0
206.88,34.33,30.00,0
207.90,34.33,30.00,0
208.92,34.33,30.00,0
209.95,34.33,30.00,0
210.97,34.24,30.00,0
212.00,34.24,30.00,0
213.02,34.33,30.00,0
214.04,34.24,30.00,0
215.07,34.24,30.00,0
216.09,34.24,30.00,0
217.12,34.24,30.00,0
218.14,34.24,30.00,0
219.16,34.24,30.00,0
220.19,34.24,30.00,0
221.21,34.14,30.00,0
222.24,34.24,30.00,0
223.26,34.24,30.00,0
224.28,34.14,30.00,0
225.31,34.14,30.00,0
226.33,34.14,30.00,0
227.36,34.14,30.00,0
228.38,34.14,30.00,0
229.41,34.14,30.00,0
230.43,34.14,30.00,0
231.45,34.14,30.00,0
232.48,34.04,30.00,0
233.50,34.14,30.00,0
234.52,34.04,30.00,0
235.55,34.04,30.00,0
236.57,34.04,30.00,0
237.60,34.04,30.00,0
238.62,34.04,30.00,0
239.65,34.04,30.00,0
240.67,34.04,30.00,0
241.69,34.04,30.00,0
242.72,34.04,30.00,0
243.74,34.04,30.00,0
244.77,33.95,30.00,0
245.79,33.95,30.00,0
246.81,33.95,30.00,0
247.84,33.95,30.00,0
248.86,33.95,30.00,0
249.89,33.95,30.00,0
250.91,33.95,30.00,0
251.94,33.95,30.00,0
252.96,33.95,30.00,0
253.98,33.95,30.00,0
255.01,33.95,30.00,0
256.03,33.95,30.00,0
257.05,33.85,30.00,0
258.08,33.95,30.00,0
259.10,33.85,30.00,0
260.13,33.85,30.00,0
261.15,33.85,30.00,0
262.18,33.85,30.00,0
263.20,33.85,30.00,0
264.22,33.85,30.00,0
265.25,33.85,30.00,0
266.27,33.85,30.00,0
267.30,33.75,30.00,0
268.32,33.75,30.00,0
269.34,33.75,30.00,0
270.37,33.75,30.00,0
271.39,33.75,30.00,0
272.42,33.75,30.00,0
273.44,33.75,30.00,0
274.47,33.75,30.00,0
275.49,33.75,30.00,0
276.51,33.75,30.00,0
277.54,33.75,30.00,0
278.56,33.75,30.00,0
279.58,33.75,30.00,0
280.61,33.75,30.00,0
281.63,33.66,30.00,0
282.66,33.66,30.00,0
283.68,33.66,30.00,0
284.71,33.66,30.00,0
285.73,33.66,30.00,0
286.75,33.66,30.00,0
287.78,33.66,30.00,0
288.80,33.66,30.00,0
289.83,33.66,30.00,0
290.85,33.56,30.00,0
291.88,33.66,30.00,0
292.90,33.66,30.00,0
293.92,33.56,30.00,0
294.95,33.56,30.00,0
