Tempo (s),Temp Atual (C),Temp Desejada (C),PWM
1.04,31.19,30.00,0
2.06,31.19,30.00,0
3.09,31.19,30.00,0
4.11,31.19,30.00,0
5.13,31.28,30.00,0
6.16,31.28,30.00,0
7.18,31.28,30.00,0
8.21,31.28,30.00,0
9.23,31.19,30.00,0
10.25,31.28,30.00,0
11.28,31.28,30.00,0
12.30,31.28,30.00,0
13.32,31.28,30.00,0
14.35,31.28,30.00,0
15.37,31.28,30.00,0
16.40,31.28,30.00,0
17.42,31.28,30.00,0
18.44,31.19,30.00,0
19.47,31.19,30.00,0
20.49,31.19,30.00,0
21.52,31.19,30.00,0
22.54,31.19,30.00,0
23.56,31.19,30.00,0
24.59,31.19,30.00,0
25.61,31.19,30.00,0
26.64,31.19,30.00,0
27.66,31.19,30.00,0
28.68,31.19,30.00,0
29.71,31.19,30.00,0
30.73,31.19,30.00,0
31.76,31.19,30.00,0
32.78,31.19,30.00,0
33.81,31.19,30.00,0
34.83,31.19,30.00,0
35.85,31.19,30.00,0
36.88,31.19,30.00,0
37.90,31.19,30.00,0
38.93,31.19,30.00,0
39.95,31.19,30.00,0
40.97,31.19,30.00,0
42.00,31.19,30.00,0
43.02,31.10,30.00,0
44.04,31.19,30.00,0
45.07,31.19,30.00,0
46.09,31.19,30.00,0
47.12,31.10,30.00,0
48.14,31.10,30.00,0
49.17,31.10,30.00,0
50.19,31.10,30.00,0
51.21,31.10,30.00,0
52.24,31.10,30.00,0
53.26,31.10,30.00,0
54.29,31.19,30.00,0
55.31,31.10,30.00,0
56.33,31.10,30.00,0
57.36,31.10,30.00,0
58.38,31.10,30.00,0
59.40,31.10,30.00,0
60.43,31.10,30.00,0
61.45,31.10,30.00,0
62.48,31.10,30.00,0
63.50,31.10,30.00,0
64.52,31.10,30.00,0
65.55,31.10,30.00,0
66.57,31.10,30.00,0
67.60,31.10,30.00,0
68.62,31.00,30.00,0
69.64,31.00,30.00,0
70.67,31.00,30.00,0
71.69,31.00,30.00,0
72.72,31.00,30.00,0
73.74,31.00,30.00,0
